timestamp,callout_type,response_time,success
398.4734,ladder,0.1075134,False
398.5403,ladder,0.1743774,False
398.6069,ladder,0.2410278,False
398.6602,ladder,0.2943726,False
402.0059,ladder,3.640015,False
402.0325,ladder,3.666656,False
402.0594,ladder,3.693512,False
402.0858,ladder,3.719879,False
402.1131,ladder,3.747192,False
402.1393,ladder,3.773376,False
402.1661,ladder,3.800262,False
402.1927,ladder,3.826813,False
402.2191,ladder,3.85321,False
402.2457,ladder,3.879852,False
402.2726,ladder,3.906677,False
402.2991,ladder,3.933258,False
402.3259,ladder,3.960022,False
402.3526,ladder,3.986694,False
402.3792,ladder,4.013336,False
402.4059,ladder,4.039978,False
402.4328,ladder,4.066925,False
402.4595,ladder,4.093597,False
402.4859,ladder,4.120026,False
402.5127,ladder,4.14682,False
402.5393,ladder,4.173401,False
402.5659,ladder,4.200012,False
402.5931,ladder,4.227234,False
402.6194,ladder,4.253571,False
402.6458,ladder,4.279938,False
402.6727,ladder,4.306824,False
402.6989,ladder,4.333038,False
402.7257,ladder,4.359863,False
402.7526,ladder,4.386749,False
402.7795,ladder,4.413666,False
402.8058,ladder,4.439911,False
402.8328,ladder,4.466919,False
402.8596,ladder,4.493713,False
402.886,ladder,4.520081,False
402.9127,ladder,4.546814,False
402.9391,ladder,4.573273,False
402.9658,ladder,4.599945,False
402.9924,ladder,4.626556,False
403.019,ladder,4.653168,False
403.0461,ladder,4.680176,False
403.0725,ladder,4.706665,False
403.0996,ladder,4.733704,False
403.1261,ladder,4.760254,False
403.1529,ladder,4.786987,False
403.179,ladder,4.813171,False
403.2062,ladder,4.840302,False
403.2331,ladder,4.867218,False
403.2596,ladder,4.893768,False
403.2861,ladder,4.920258,False
403.3127,ladder,4.946808,False
403.3394,ladder,4.973572,False
403.3664,ladder,5.000519,False
403.3929,ladder,5.026978,False
403.4196,ladder,5.053711,False
403.4457,ladder,5.079865,False
403.473,ladder,5.107117,False
403.4994,ladder,5.133545,False
403.5261,ladder,5.160248,False
403.553,ladder,5.187103,False
403.5792,ladder,5.213348,False
403.6064,ladder,5.240509,False
403.6334,ladder,5.267517,False
403.6595,ladder,5.293579,False
403.6861,ladder,5.320251,False
403.7128,ladder,5.346954,False
403.7391,ladder,5.373199,False
403.7658,ladder,5.399902,False
403.7926,ladder,5.426758,False
403.819,ladder,5.453156,False
403.8458,ladder,5.479919,False
403.8729,ladder,5.506989,False
403.8993,ladder,5.533386,False
403.9259,ladder,5.560028,False
403.9526,ladder,5.5867,False
403.9794,ladder,5.613525,False
404.0058,ladder,5.639893,False
404.0327,ladder,5.666779,False
404.0593,ladder,5.69342,False
404.0857,ladder,5.719788,False
404.1128,ladder,5.746918,False
404.1389,ladder,5.773071,False
404.1657,ladder,5.799805,False
404.1927,ladder,5.826813,False
404.2191,ladder,5.853241,False
404.246,ladder,5.880157,False
404.2727,ladder,5.90686,False
404.2991,ladder,5.933228,False
404.3257,ladder,5.959839,False
404.3528,ladder,5.986969,False
404.3792,ladder,6.013367,False
404.4061,ladder,6.040222,False
404.4463,ladder,6.080383,False
404.4733,ladder,6.107391,False
404.4998,ladder,6.133942,False
404.5259,ladder,6.160004,False
404.5534,ladder,6.1875,False
404.5797,ladder,6.213867,False
404.6058,ladder,6.23996,False
404.6328,ladder,6.266876,False
404.6598,ladder,6.293915,False
404.686,ladder,6.320129,False
404.7134,ladder,6.347504,False
404.7395,ladder,6.373627,False
404.7665,ladder,6.400665,False
404.7927,ladder,6.426819,False
404.8195,ladder,6.453644,False
404.8463,ladder,6.480408,False
404.8728,ladder,6.506927,False
404.8992,ladder,6.533325,False
404.9258,ladder,6.559967,False
404.9527,ladder,6.586823,False
404.9794,ladder,6.613556,False
405.006,ladder,6.640137,False
405.0331,ladder,6.667175,False
405.0593,ladder,6.693451,False
405.0862,ladder,6.720367,False
405.113,ladder,6.747131,False
405.1396,ladder,6.773773,False
405.166,ladder,6.80014,False
405.1928,ladder,6.826965,False
405.2191,ladder,6.853241,False
405.2461,ladder,6.880188,False
405.2727,ladder,6.90683,False
405.2998,ladder,6.93396,False
405.3261,ladder,6.960236,False
405.3528,ladder,6.986877,False
405.3795,ladder,7.013611,False
405.4062,ladder,7.040314,False
405.433,ladder,7.067078,False
405.5532,ladder,7.187317,False
405.6061,ladder,7.240234,False
405.6461,ladder,7.280212,False
405.6728,ladder,7.306885,False
405.6994,ladder,7.333557,False
405.7261,ladder,7.360199,False
405.7529,ladder,7.386993,False
405.7794,ladder,7.413513,False
405.806,ladder,7.440155,False
405.8327,ladder,7.466858,False
405.8726,ladder,7.506744,False
405.8995,ladder,7.533661,False
405.926,ladder,7.56015,False
405.9527,ladder,7.586792,False
405.9793,ladder,7.613464,False
406.0061,ladder,7.640198,False
406.0331,ladder,7.667236,False
406.0594,ladder,7.693573,False
406.0861,ladder,7.720215,False
406.1127,ladder,7.746857,False
406.1396,ladder,7.773682,False
406.1663,ladder,7.800415,False
406.1927,ladder,7.826843,False
406.2195,ladder,7.853577,False
406.246,ladder,7.880127,False
406.2727,ladder,7.90686,False
406.2998,ladder,7.933899,False
406.3259,ladder,7.960022,False
406.3528,ladder,7.986908,False
406.3792,ladder,8.013275,False
406.4057,ladder,8.039825,False
406.4329,ladder,8.067047,False
406.4589,ladder,8.093048,False
406.4858,ladder,8.119965,False
406.5128,ladder,8.146881,False
406.5394,ladder,8.173553,False
406.5659,ladder,8.199982,False
406.5933,ladder,8.227448,False
406.6193,ladder,8.253418,False
406.6465,ladder,8.280579,False
406.6726,ladder,8.306732,False
406.6998,ladder,8.333923,False
406.7259,ladder,8.360046,False
406.7527,ladder,8.386841,False
406.7794,ladder,8.413544,False
406.8061,ladder,8.440216,False
406.833,ladder,8.467133,False
406.8594,ladder,8.49353,False
406.886,ladder,8.520142,False
406.9128,ladder,8.546875,False
406.9394,ladder,8.573517,False
406.966,ladder,8.600159,False
407.0059,ladder,8.640015,False
407.0329,ladder,8.667053,False
407.0594,ladder,8.693512,False
407.0858,ladder,8.719879,False
407.1132,ladder,8.747345,False
407.1391,ladder,8.773193,False
407.1791,ladder,8.813263,False
407.2197,ladder,8.85379,False
407.246,ladder,8.880157,False
407.2726,ladder,8.906738,False
407.2994,ladder,8.933533,False
407.3256,ladder,8.959717,False
407.3527,ladder,8.986816,False
407.3792,ladder,9.013336,False
407.4056,ladder,9.039764,False
407.4327,ladder,9.066803,False
407.459,ladder,9.093109,False
407.4991,ladder,9.13327,False
407.526,ladder,9.160095,False
407.5527,ladder,9.186859,False
407.5792,ladder,9.213287,False
407.6058,ladder,9.239899,False
407.6329,ladder,9.267059,False
407.6591,ladder,9.293243,False
407.686,ladder,9.320099,False
407.7128,ladder,9.346924,False
407.739,ladder,9.373169,False
407.7659,ladder,9.399994,False
407.7924,ladder,9.426483,False
407.8191,ladder,9.453186,False
407.8458,ladder,9.479889,False
407.8725,ladder,9.506592,False
407.8993,ladder,9.533386,False
407.9257,ladder,9.559845,False
407.9527,ladder,9.586792,False
407.979,ladder,9.613159,False
408.0056,ladder,9.639709,False
408.0328,ladder,9.666931,False
408.0591,ladder,9.693176,False
408.0858,ladder,9.719879,False
408.1127,ladder,9.746857,False
408.1524,ladder,9.78653,False
408.1792,ladder,9.813324,False
408.2066,ladder,9.840759,False
408.2325,ladder,9.866638,False
408.2597,ladder,9.893829,False
408.286,ladder,9.920105,False
408.3128,ladder,9.94696,False
408.3389,ladder,9.972992,False
408.3658,ladder,9.999878,False
408.3925,ladder,10.02667,False
408.419,ladder,10.05313,False
408.4457,ladder,10.07986,False
408.4724,ladder,10.10654,False
408.4991,ladder,10.13321,False
408.5257,ladder,10.15982,False
408.5526,ladder,10.18674,False
408.579,ladder,10.2131,False
408.6057,ladder,10.23987,False
408.6328,ladder,10.26697,False
408.659,ladder,10.29315,False
408.6861,ladder,10.32019,False
408.7126,ladder,10.34677,False
408.7391,ladder,10.37326,False
408.7658,ladder,10.3999,False
408.7924,ladder,10.42657,False
408.819,ladder,10.45313,False
408.8457,ladder,10.47983,False
408.8725,ladder,10.50662,False
408.899,ladder,10.53317,False
408.9257,ladder,10.55981,False
408.9527,ladder,10.58679,False
408.9792,ladder,10.61328,False
409.0057,ladder,10.63986,False
409.0326,ladder,10.66675,False
409.0591,ladder,10.69318,False
409.0858,ladder,10.71991,False
409.1126,ladder,10.7467,False
409.1391,ladder,10.77325,False
409.166,ladder,10.80008,False
409.1929,ladder,10.82703,False
409.2191,ladder,10.85324,False
409.246,ladder,10.88013,False
409.2726,ladder,10.90671,False
409.2992,ladder,10.93335,False
409.3258,ladder,10.9599,False
409.3527,ladder,10.98682,False
409.3793,ladder,11.01346,False
409.4057,ladder,11.03983,False
409.4327,ladder,11.06683,False
409.459,ladder,11.09311,False
409.4857,ladder,11.11984,False
409.5123,ladder,11.14645,False
409.539,ladder,11.1731,False
409.5658,ladder,11.19995,False
409.5925,ladder,11.22659,False
409.6192,ladder,11.2533,False
409.646,ladder,11.28015,False
409.6727,ladder,11.30679,False
409.6993,ladder,11.33344,False
409.726,ladder,11.36014,False
409.7528,ladder,11.38693,False
409.7792,ladder,11.41333,False
409.8058,ladder,11.43997,False
409.8328,ladder,11.46692,False
409.859,ladder,11.49316,False
409.8862,ladder,11.52029,False
409.9128,ladder,11.54694,False
409.9391,ladder,11.57321,False
409.9659,ladder,11.60001,False
409.9926,ladder,11.62677,False
410.0191,ladder,11.6532,False
410.0461,ladder,11.68024,False
410.0732,ladder,11.70731,False
410.0991,ladder,11.73318,False
410.126,ladder,11.7601,False
410.1525,ladder,11.78659,False
410.1797,ladder,11.81384,False
410.2057,ladder,11.83984,False
410.2328,ladder,11.86697,False
410.2591,ladder,11.89325,False
410.2857,ladder,11.91986,False
410.3127,ladder,11.94678,False
410.3391,ladder,11.97324,False
410.3658,ladder,11.99994,False
410.3928,ladder,12.02695,False
410.4192,ladder,12.05334,False
410.446,ladder,12.08011,False
410.4725,ladder,12.10663,False
410.4991,ladder,12.13324,False
410.5257,ladder,12.15985,False
410.5525,ladder,12.18665,False
410.579,ladder,12.2131,False
410.6057,ladder,12.23981,False
410.6328,ladder,12.26697,False
410.6592,ladder,12.29333,False
410.6858,ladder,12.31995,False
410.7126,ladder,12.34677,False
410.739,ladder,12.37317,False
410.7658,ladder,12.39996,False
410.8058,ladder,12.43997,False
410.8327,ladder,12.46686,False
410.8589,ladder,12.49298,False
410.8863,ladder,12.52042,False
410.9126,ladder,12.54669,False
410.9394,ladder,12.57349,False
410.9657,ladder,12.59979,False
410.9925,ladder,12.62662,False
411.019,ladder,12.65311,False
411.0456,ladder,12.67975,False
411.0725,ladder,12.7066,False
411.0991,ladder,12.73318,False
411.1255,ladder,12.75967,False
411.1524,ladder,12.78656,False
411.179,ladder,12.81308,False
411.2058,ladder,12.8399,False
411.2327,ladder,12.86682,False
411.259,ladder,12.89316,False
411.2857,ladder,12.91983,False
411.3127,ladder,12.94684,False
411.3388,ladder,12.97296,False
411.3657,ladder,12.99982,False
411.3927,ladder,13.02682,False
411.419,ladder,13.05313,False
411.4459,ladder,13.07999,False
411.4724,ladder,13.10657,False
411.499,ladder,13.13312,False
411.5256,ladder,13.1597,False
411.5528,ladder,13.18692,False
411.5791,ladder,13.21323,False
411.6057,ladder,13.23987,False
411.6326,ladder,13.26672,False
411.6589,ladder,13.293,False
411.6858,ladder,13.31989,False
411.7126,ladder,13.34668,False
411.7391,ladder,13.37323,False
411.7658,ladder,13.39993,False
411.7927,ladder,13.42685,False
411.819,ladder,13.45309,False
411.8456,ladder,13.47971,False
411.8726,ladder,13.50668,False
411.8997,ladder,13.53378,False
411.9256,ladder,13.55969,False
411.9529,ladder,13.58701,False
411.9793,ladder,13.61343,False
412.0058,ladder,13.63995,False
412.0328,ladder,13.6669,False
412.0593,ladder,13.69342,False
412.0855,ladder,13.71967,False
412.1122,ladder,13.74637,False
412.1391,ladder,13.77319,False
412.1657,ladder,13.7998,False
412.1926,ladder,13.82672,False
412.219,ladder,13.85312,False
412.2456,ladder,13.8797,False
412.2733,ladder,13.90747,False
412.2992,ladder,13.93335,False
412.3257,ladder,13.95978,False
412.3525,ladder,13.98663,False
412.3791,ladder,14.01318,False
412.4058,ladder,14.03992,False
412.4326,ladder,14.06677,False
412.459,ladder,14.09317,False
412.4857,ladder,14.11981,False
412.5125,ladder,14.14664,False
412.5391,ladder,14.17319,False
412.5657,ladder,14.19983,False
412.593,ladder,14.22711,False
412.6193,ladder,14.25339,False
412.646,ladder,14.28012,False
412.6858,ladder,14.31992,False
412.7127,ladder,14.34683,False
412.739,ladder,14.37317,False
412.7658,ladder,14.39993,False
412.7925,ladder,14.42664,False
412.8192,ladder,14.45331,False
412.8457,ladder,14.47983,False
412.8727,ladder,14.50684,False
412.8994,ladder,14.53351,False
412.9258,ladder,14.55997,False
412.9527,ladder,14.58685,False
412.979,ladder,14.61313,False
413.0058,ladder,14.63989,False
413.0328,ladder,14.6669,False
413.0591,ladder,14.69318,False
413.0858,ladder,14.71994,False
413.1127,ladder,14.7468,False
413.139,ladder,14.77316,False
413.1657,ladder,14.7998,False
413.1927,ladder,14.82678,False
413.2189,ladder,14.85306,False
413.2459,ladder,14.88004,False
413.2724,ladder,14.90656,False
413.2991,ladder,14.9332,False
413.3257,ladder,14.95987,False
413.3528,ladder,14.98688,False
413.3792,ladder,15.01328,False
413.4057,ladder,15.03983,False
413.4324,ladder,15.06656,False
413.4589,ladder,15.09302,False
413.4858,ladder,15.11996,False
413.5126,ladder,15.14676,False
413.5389,ladder,15.17307,False
413.5661,ladder,15.20026,False
413.5926,ladder,15.22675,False
413.6193,ladder,15.25339,False
413.6464,ladder,15.28049,False
413.6731,ladder,15.30719,False
413.6989,ladder,15.33304,False
413.726,ladder,15.36008,False
413.7525,ladder,15.3866,False
413.7794,ladder,15.41357,False
413.8058,ladder,15.43994,False
413.8328,ladder,15.46689,False
413.8589,ladder,15.49304,False
413.8856,ladder,15.51974,False
413.9126,ladder,15.54672,False
413.9394,ladder,15.57355,False
413.9658,ladder,15.59995,False
413.9925,ladder,15.62662,False
414.019,ladder,15.65317,False
