timestamp,callout_type,response_time,success
221.4915,ladder,0.1204987,False
221.5582,ladder,0.1871185,False
221.6113,ladder,0.2402344,False
221.6649,ladder,0.293808,False
251.0107,ladder,29.63966,False
251.0378,ladder,29.66676,False
251.064,ladder,29.69296,False
251.0911,ladder,29.72008,False
251.1174,ladder,29.74634,False
251.1441,ladder,29.77306,False
251.1842,ladder,29.81311,False
251.2108,ladder,29.83978,False
251.2375,ladder,29.86641,False
251.2642,ladder,29.89316,False
251.2911,ladder,29.92004,False
251.3175,ladder,29.94647,False
251.3575,ladder,29.98648,False
251.3846,ladder,30.01352,False
251.4109,ladder,30.03984,False
251.4375,ladder,30.06645,False
251.4779,ladder,30.10689,False
251.5043,ladder,30.13321,False
251.5308,ladder,30.15971,False
251.5574,ladder,30.18637,False
251.584,ladder,30.21292,False
251.6107,ladder,30.23962,False
251.6377,ladder,30.26665,False
251.6777,ladder,30.30666,False
251.7045,ladder,30.33344,False
251.7446,ladder,30.3736,False
251.784,ladder,30.41299,False
251.8247,ladder,30.45363,False
251.8511,ladder,30.48001,False
251.8775,ladder,30.50644,False
251.9045,ladder,30.53345,False
251.9308,ladder,30.55975,False
251.9574,ladder,30.5864,False
251.9843,ladder,30.6132,False
252.0108,ladder,30.63976,False
252.0375,ladder,30.66649,False
252.0779,ladder,30.70683,False
252.1042,ladder,30.73317,False
252.1308,ladder,30.75975,False
252.1577,ladder,30.78665,False
252.1841,ladder,30.81302,False
252.2109,ladder,30.83986,False
252.2375,ladder,30.86646,False
252.2641,ladder,30.89301,False
252.2908,ladder,30.91975,False
252.3175,ladder,30.94644,False
252.3441,ladder,30.97301,False
252.371,ladder,30.99995,False
252.4109,ladder,31.03986,False
252.4374,ladder,31.06639,False
252.4643,ladder,31.09325,False
252.4908,ladder,31.11975,False
252.5173,ladder,31.14629,False
252.5441,ladder,31.17307,False
252.5715,ladder,31.20049,False
252.5715,ladder,31.20049,True
252.6241,ladder,31.25305,False
252.6508,ladder,31.27974,False
252.6775,ladder,31.30644,False
252.7043,ladder,31.33321,False
252.7441,ladder,31.37308,False
252.7711,ladder,31.40001,False
252.8109,ladder,31.4399,False
252.8377,ladder,31.46663,False
252.8642,ladder,31.49316,False
252.8909,ladder,31.51988,False
252.9174,ladder,31.5464,False
252.9443,ladder,31.57324,False
252.9709,ladder,31.5999,False
252.9975,ladder,31.62642,False
253.0378,ladder,31.66672,False
253.0645,ladder,31.69342,False
253.1045,ladder,31.73346,False
253.1318,ladder,31.76077,False
253.1578,ladder,31.78677,False
253.1845,ladder,31.81343,False
253.2107,ladder,31.83963,False
253.2514,ladder,31.88033,False
253.2785,ladder,31.90741,False
253.305,ladder,31.93394,False
253.3311,ladder,31.96004,False
253.3578,ladder,31.98677,False
253.3845,ladder,32.01341,False
253.4108,ladder,32.03979,False
253.4379,ladder,32.06686,False
253.4644,ladder,32.0934,False
253.4912,ladder,32.12015,False
253.5178,ladder,32.14673,False
253.5444,ladder,32.17337,False
