Timestamp,Current Phase,Distance Change,Total Distance Traveled,Position X,Position Y,Position Z,Quaternion X,Quaternion Y,Quaternion Z,Quaternion W,Total Steps Idle,Phase Distance Traveled,Phase Steps Idle,Distance from Target,Air Level, Mobility,Key Frame,Targets
2245.08,1,0,0,-36.72488,-4.903877,-28.84753,-0.2, 0.0, 0.0, -1.0,0,0,0,0,99.96,1,1,0000000100
2245.575,1,0.01284831,0.01284831,-36.71426,-4.902825,-28.85468,-0.2, 0.0, 0.0, -1.0,0,0.01284831,0,0,99.91743,1,0,0000000100
2246.067,1,0.1107616,0.1236099,-36.79574,-4.900364,-28.77969,-0.1, -0.3, 0.0, -1.0,0,0.1236099,0,0,99.85527,1,0,0000000100
2246.574,1,0.005116559,0.1287265,-36.79554,-4.900262,-28.7848,-0.1, -0.2, 0.0, -1.0,0,0.1287265,0,0,99.81425,1,0,0000000100
2247.08,1,0.70758,0.8363065,-36.50382,-4.900136,-28.14015,-0.1, -0.3, 0.0, -1.0,0,0.8363065,0,0,99.63273,1,0,0000000100
2247.561,1,2.149372,2.985678,-35.26459,-4.898182,-26.38399,-0.1, -0.7, 0.1, -0.7,0,2.985678,0,0,99.16286,1,0,0000000100
2248.08,1,2.549802,5.53548,-32.71728,-4.897638,-26.27121,-0.1, -0.7, 0.1, -0.7,0,5.53548,0,0,98.61289,1,0,0000000100
2248.561,1,2.348119,7.883598,-30.37043,-4.897449,-26.19413,-0.1, -0.7, 0.1, -0.7,0,7.883598,0,0,98.10326,1,0,0000000100
2249.067,1,2.300901,10.1845,-28.12219,-4.897312,-26.68357,-0.1, -0.7, 0.1, -0.7,0,10.1845,0,0,97.60308,1,0,0000000100
2249.574,1,2.503062,12.68756,-25.64753,-4.897455,-26.30756,-0.1, -0.7, 0.1, -0.7,0,12.68756,0,0,97.06247,1,0,0000000100
2250.08,1,2.583613,15.27117,-23.08078,-4.898249,-26.01284,-0.1, -0.8, 0.1, -0.6,0,15.27117,0,0,96.50574,1,0,0000000100
2250.574,1,2.335364,17.60654,-20.74542,-4.898109,-26.01389,-0.1, -0.7, 0.1, -0.7,0,17.60654,0,0,95.99867,1,0,0000000100
2251.067,1,2.481841,20.08838,-18.2636,-4.897901,-26.00271,-0.1, -0.7, 0.1, -0.7,0,20.08838,0,0,95.4623,1,0,0000000100
