timestamp,callout_type,response_time,success
896.5624,ladder,0.1077271,False
896.6415,ladder,0.1868286,False
896.6951,ladder,0.2404175,False
896.735,ladder,0.2803345,False
896.7754,ladder,0.3207397,False
896.815,ladder,0.3603516,False
896.8549,ladder,0.4002075,False
896.8948,ladder,0.4401855,False
896.9213,ladder,0.4666748,False
896.9485,ladder,0.4938965,False
896.9745,ladder,0.5198975,False
897.0012,ladder,0.5465088,False
897.0279,ladder,0.5732422,False
897.0545,ladder,0.5998535,False
897.0813,ladder,0.6266479,False
897.1077,ladder,0.6530762,False
897.1346,ladder,0.6799316,False
897.1612,ladder,0.706543,False
897.188,ladder,0.7333374,False
897.2145,ladder,0.7598877,False
897.2413,ladder,0.7866211,False
897.2679,ladder,0.8132935,False
897.2946,ladder,0.8399048,False
897.3212,ladder,0.8665771,False
897.3478,ladder,0.8931885,False
897.3744,ladder,0.9197388,False
897.4012,ladder,0.9465332,False
897.4279,ladder,0.9732666,False
897.4545,ladder,0.9998779,False
897.496,ladder,1.041321,False
897.5214,ladder,1.066772,False
897.5481,ladder,1.093445,False
897.5746,ladder,1.119934,False
897.6012,ladder,1.146545,False
897.6282,ladder,1.173584,False
897.6546,ladder,1.199951,False
897.6813,ladder,1.226624,False
897.7078,ladder,1.253174,False
897.7346,ladder,1.279907,False
897.7612,ladder,1.30658,False
897.7881,ladder,1.333496,False
897.8149,ladder,1.360229,False
897.8412,ladder,1.386536,False
897.8679,ladder,1.413208,False
897.8947,ladder,1.440002,False
897.9213,ladder,1.466675,False
897.948,ladder,1.493347,False
897.9746,ladder,1.519958,False
898.0015,ladder,1.546875,False
898.0282,ladder,1.573547,False
898.0546,ladder,1.599976,False
898.0814,ladder,1.626709,False
898.108,ladder,1.653381,False
898.1346,ladder,1.679932,False
898.1613,ladder,1.706604,False
898.1879,ladder,1.733276,False
898.2147,ladder,1.760071,False
898.2413,ladder,1.786621,False
898.268,ladder,1.813354,False
898.2946,ladder,1.839905,False
898.3212,ladder,1.866516,False
898.348,ladder,1.893311,False
898.3745,ladder,1.919861,False
898.4014,ladder,1.946777,False
898.4282,ladder,1.973511,False
898.4544,ladder,1.999756,False
898.4814,ladder,2.026733,False
898.5079,ladder,2.053284,False
898.5346,ladder,2.079956,False
898.5616,ladder,2.106934,False
898.588,ladder,2.133362,False
898.6146,ladder,2.159912,False
898.6412,ladder,2.186584,False
898.6684,ladder,2.213745,False
898.6945,ladder,2.239807,False
898.7212,ladder,2.266541,False
898.7482,ladder,2.293579,False
898.7745,ladder,2.319824,False
898.8013,ladder,2.346619,False
898.8282,ladder,2.373535,False
898.8546,ladder,2.399902,False
898.8814,ladder,2.426758,False
898.908,ladder,2.453308,False
898.9348,ladder,2.480103,False
898.9612,ladder,2.506531,False
898.9879,ladder,2.533264,False
899.0146,ladder,2.559937,False
899.0412,ladder,2.586548,False
899.0679,ladder,2.613281,False
899.0946,ladder,2.639954,False
899.1212,ladder,2.666565,False
899.1478,ladder,2.693115,False
899.1747,ladder,2.720093,False
899.2012,ladder,2.746521,False
