timestamp,callout_type,response_time,success
2245.054,ladder,0.09399414,False
2245.094,ladder,0.1337891,False
2245.135,ladder,0.1743164,False
2245.175,ladder,0.2141113,False
2245.214,ladder,0.2539063,False
2245.254,ladder,0.2939453,False
2245.294,ladder,0.3339844,False
2245.335,ladder,0.3742676,False
2245.375,ladder,0.4140625,False
2245.414,ladder,0.4538574,False
2245.441,ladder,0.4802246,False
2245.468,ladder,0.5070801,False
2245.494,ladder,0.5336914,False
2245.522,ladder,0.5612793,False
2245.548,ladder,0.5874023,False
2245.575,ladder,0.6147461,False
2245.602,ladder,0.6416016,False
2245.628,ladder,0.6672363,False
2245.655,ladder,0.6948242,False
2245.681,ladder,0.7209473,False
2245.708,ladder,0.7480469,False
2245.735,ladder,0.7746582,False
2245.761,ladder,0.8010254,False
2245.789,ladder,0.8283691,False
2245.815,ladder,0.854248,False
2245.841,ladder,0.8806152,False
2245.868,ladder,0.9074707,False
2245.895,ladder,0.9343262,False
2245.921,ladder,0.9609375,False
2245.948,ladder,0.9875488,False
2245.988,ladder,1.027832,False
2246.014,ladder,1.053955,False
2246.041,ladder,1.080566,False
2246.067,ladder,1.106934,False
2246.094,ladder,1.133789,False
2246.121,ladder,1.1604,False
2246.147,ladder,1.187012,False
2246.174,ladder,1.213623,False
2246.201,ladder,1.240234,False
2246.227,ladder,1.266846,False
2246.254,ladder,1.293457,False
2246.281,ladder,1.320313,False
2246.307,ladder,1.346924,False
2246.334,ladder,1.373779,False
2246.361,ladder,1.400391,False
2246.388,ladder,1.427246,False
2246.414,ladder,1.453857,False
2246.441,ladder,1.480225,False
2246.467,ladder,1.506836,False
2246.494,ladder,1.533691,False
2246.521,ladder,1.560547,False
2246.548,ladder,1.587158,False
2246.574,ladder,1.61377,False
2246.601,ladder,1.640381,False
2246.627,ladder,1.666992,False
2246.654,ladder,1.693604,False
2246.681,ladder,1.720215,False
2246.707,ladder,1.746826,False
2246.734,ladder,1.773438,False
2246.761,ladder,1.800293,False
2246.787,ladder,1.826904,False
2246.814,ladder,1.85376,False
2246.841,ladder,1.880615,False
2246.867,ladder,1.906982,False
2246.894,ladder,1.933838,False
2246.921,ladder,1.960205,False
2246.948,ladder,1.987061,False
2246.975,ladder,2.01416,False
2247.001,ladder,2.040771,False
2247.028,ladder,2.067139,False
2247.054,ladder,2.093994,False
2247.081,ladder,2.120361,False
2247.108,ladder,2.147461,False
2247.134,ladder,2.173828,False
2247.161,ladder,2.200684,False
2247.188,ladder,2.227051,False
2247.214,ladder,2.253906,False
2247.241,ladder,2.280762,False
2247.268,ladder,2.307373,False
2247.294,ladder,2.33374,False
2247.321,ladder,2.360352,False
2247.348,ladder,2.387207,False
2247.374,ladder,2.413818,False
2247.401,ladder,2.44043,False
2247.428,ladder,2.467285,False
2247.454,ladder,2.493652,False
2247.481,ladder,2.520508,False
2247.507,ladder,2.546875,False
2247.535,ladder,2.574219,False
2247.561,ladder,2.600342,False
2247.588,ladder,2.627197,False
2247.614,ladder,2.653564,False
2247.641,ladder,2.680664,False
2247.668,ladder,2.707275,False
2247.694,ladder,2.733887,False
2247.721,ladder,2.760742,False
2247.748,ladder,2.787354,False
2247.774,ladder,2.813965,False
2247.801,ladder,2.84082,False
2247.828,ladder,2.867432,False
2247.854,ladder,2.893799,False
2247.881,ladder,2.92041,False
2247.908,ladder,2.94751,False
2247.934,ladder,2.973877,False
2247.961,ladder,3.000732,False
2247.988,ladder,3.027832,False
2248.028,ladder,3.067139,False
2248.055,ladder,3.094482,False
2248.081,ladder,3.12085,False
2248.108,ladder,3.147217,False
2248.135,ladder,3.174072,False
2248.161,ladder,3.200684,False
2248.188,ladder,3.227295,False
2248.214,ladder,3.253906,False
2248.241,ladder,3.280762,False
2248.268,ladder,3.307373,False
2248.294,ladder,3.333496,False
2248.321,ladder,3.360596,False
2248.348,ladder,3.387207,False
2248.374,ladder,3.413818,False
2248.401,ladder,3.44043,False
2248.428,ladder,3.467773,False
2248.454,ladder,3.493652,False
2248.481,ladder,3.520264,False
2248.508,ladder,3.547363,False
2248.534,ladder,3.573486,False
2248.561,ladder,3.60083,False
2248.588,ladder,3.627441,False
2248.614,ladder,3.653564,False
2248.641,ladder,3.68042,False
2248.668,ladder,3.707275,False
2248.694,ladder,3.733887,False
2248.721,ladder,3.760254,False
2248.748,ladder,3.787109,False
