timestamp,callout_type,response_time,success
97.14538,ladder,0.1071625,False
97.22536,ladder,0.187149,False
97.27838,ladder,0.2401657,False
97.31834,ladder,0.2801285,False
100.0248,ladder,2.986542,False
100.0515,ladder,3.01329,False
100.0781,ladder,3.039902,False
100.118,ladder,3.079781,False
100.1447,ladder,3.106499,False
100.1712,ladder,3.133026,False
100.1981,ladder,3.159836,False
100.2248,ladder,3.186577,False
100.2515,ladder,3.213257,False
100.2779,ladder,3.239731,False
100.3049,ladder,3.266655,False
100.3315,ladder,3.29332,False
100.358,ladder,3.319824,False
100.3847,ladder,3.346474,False
100.4113,ladder,3.373093,False
100.438,ladder,3.399796,False
100.4647,ladder,3.426521,False
100.4914,ladder,3.453217,False
100.518,ladder,3.479774,False
100.5455,ladder,3.507286,False
100.5714,ladder,3.533211,False
100.5984,ladder,3.560143,False
100.6251,ladder,3.586899,False
100.6513,ladder,3.613052,False
100.678,ladder,3.639771,False
100.7049,ladder,3.666733,False
100.7315,ladder,3.693268,False
100.758,ladder,3.719742,False
100.7848,ladder,3.746582,False
100.8113,ladder,3.773125,False
100.838,ladder,3.799805,False
100.8646,ladder,3.826431,False
100.8913,ladder,3.853119,False
100.918,ladder,3.879829,False
100.9448,ladder,3.906586,False
100.9713,ladder,3.933083,False
100.9981,ladder,3.959915,False
101.0247,ladder,3.986435,False
101.0515,ladder,4.013245,False
101.078,ladder,4.039795,False
101.1049,ladder,4.066643,False
101.1313,ladder,4.093063,False
101.1585,ladder,4.120247,False
101.1847,ladder,4.146454,False
101.2114,ladder,4.173233,False
101.2381,ladder,4.19989,False
101.2647,ladder,4.226501,False
101.2914,ladder,4.253204,False
101.3181,ladder,4.279846,False
101.3447,ladder,4.306435,False
101.3714,ladder,4.333191,False
101.398,ladder,4.35981,False
101.4255,ladder,4.387299,False
101.4513,ladder,4.413101,False
101.4782,ladder,4.440018,False
101.5046,ladder,4.466415,False
101.5315,ladder,4.493301,False
101.558,ladder,4.519814,False
101.5848,ladder,4.546547,False
101.6112,ladder,4.573006,False
101.6382,ladder,4.599976,False
101.6647,ladder,4.626534,False
101.6918,ladder,4.653549,False
101.7181,ladder,4.679871,False
101.7447,ladder,4.706459,False
101.7713,ladder,4.733131,False
101.7981,ladder,4.759895,False
101.8247,ladder,4.786438,False
101.8515,ladder,4.813324,False
101.878,ladder,4.839737,False
101.9049,ladder,4.866638,False
101.9312,ladder,4.893028,False
101.9583,ladder,4.920074,False
101.9853,ladder,4.947121,False
102.0115,ladder,4.973244,False
102.0387,ladder,5.000473,False
102.0653,ladder,5.027046,False
102.0915,ladder,5.053284,False
102.1184,ladder,5.080139,False
102.1449,ladder,5.106659,False
102.1714,ladder,5.133209,False
102.1982,ladder,5.159973,False
102.225,ladder,5.186775,False
102.2515,ladder,5.213333,False
102.2785,ladder,5.240242,False
102.3049,ladder,5.266731,False
102.3316,ladder,5.29335,False
102.3594,ladder,5.321144,False
102.3852,ladder,5.346962,False
102.4119,ladder,5.37365,False
102.4386,ladder,5.400375,False
102.4652,ladder,5.426941,False
102.4915,ladder,5.453316,False
102.5185,ladder,5.480263,False
102.5451,ladder,5.506836,False
102.5722,ladder,5.533981,False
102.5987,ladder,5.560516,False
102.6252,ladder,5.586952,False
102.6515,ladder,5.613266,False
102.6779,ladder,5.639702,False
102.7048,ladder,5.666557,False
102.7313,ladder,5.693108,False
102.7579,ladder,5.719681,False
102.7847,ladder,5.746468,False
102.8115,ladder,5.773285,False
102.838,ladder,5.799759,False
102.8647,ladder,5.826462,False
102.8912,ladder,5.853004,False
102.9182,ladder,5.879982,False
102.9446,ladder,5.906372,False
102.9715,ladder,5.933296,False
102.9981,ladder,5.959854,False
103.0248,ladder,5.986557,False
103.0512,ladder,6.013,False
103.078,ladder,6.03981,False
103.1179,ladder,6.079704,False
103.1447,ladder,6.106438,False
103.1715,ladder,6.13327,False
103.1981,ladder,6.159904,False
103.2246,ladder,6.186432,False
103.2512,ladder,6.213013,False
103.2779,ladder,6.239655,False
103.3046,ladder,6.266388,False
103.3313,ladder,6.293091,False
103.3581,ladder,6.319855,False
103.3846,ladder,6.346428,False
103.4114,ladder,6.373177,False
103.438,ladder,6.399765,False
103.4646,ladder,6.426369,False
103.4913,ladder,6.453087,False
103.518,ladder,6.479805,False
103.5447,ladder,6.506493,False
103.5714,ladder,6.533142,False
103.598,ladder,6.559807,False
103.6248,ladder,6.586594,False
103.6514,ladder,6.613228,False
103.6781,ladder,6.639839,False
103.7048,ladder,6.666534,False
103.7313,ladder,6.693062,False
103.758,ladder,6.719795,False
103.7847,ladder,6.746506,False
103.8112,ladder,6.773026,False
103.8382,ladder,6.79998,False
103.865,ladder,6.826767,False
103.8913,ladder,6.853058,False
103.9184,ladder,6.880203,False
103.9448,ladder,6.906578,False
103.9712,ladder,6.933014,False
103.998,ladder,6.959824,False
104.0247,ladder,6.98645,False
104.0513,ladder,7.013107,False
104.078,ladder,7.039764,False
104.1048,ladder,7.066536,False
104.1315,ladder,7.093246,False
104.1581,ladder,7.119873,False
104.1846,ladder,7.1464,False
104.2114,ladder,7.173141,False
104.238,ladder,7.199738,False
104.2646,ladder,7.226349,False
104.2913,ladder,7.253052,False
104.3182,ladder,7.279945,False
104.3446,ladder,7.306427,False
104.3715,ladder,7.33329,False
104.398,ladder,7.359764,False
104.4248,ladder,7.386566,False
104.4513,ladder,7.413132,False
104.4781,ladder,7.439911,False
104.5047,ladder,7.466492,False
104.5313,ladder,7.493095,False
104.558,ladder,7.519753,False
104.5847,ladder,7.546532,False
104.6112,ladder,7.572945,False
104.6382,ladder,7.599945,False
104.6646,ladder,7.626434,False
104.6915,ladder,7.653267,False
104.7179,ladder,7.679703,False
104.7447,ladder,7.706474,False
104.7713,ladder,7.733047,False
104.7982,ladder,7.759979,False
104.8247,ladder,7.78653,False
104.8514,ladder,7.813217,False
104.878,ladder,7.839767,False
104.9187,ladder,7.880524,False
104.9446,ladder,7.906403,False
104.9714,ladder,7.933189,False
104.998,ladder,7.959755,False
105.0246,ladder,7.986404,False
105.0514,ladder,8.013168,False
