timestamp,callout_type,response_time,success
11.86972,air,2.448917,True
14.87141,air,0.4379988,True
19.88877,air,1.932775,True
25.15354,air,1.179499,True
30.99231,air,1.526457,True
34.97881,air,0.05733109,True
40.29343,air,0.8033295,True
48.59985,air,4.098721,True
54.9526,air,3.962948,False
55.20401,air,0.2514114,True
67.98614,air,1.509529,True
72.03922,air,2.114601,True
